id_passenger,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Segment
4d71cb3842,91,3,5.5,3,3,4,334,Other
4d7534f4b1,88,17,60.93999874591825,2,1,1,211,Loyal Passenger
4d7aa5ce33,106,3,6.23999989032745,4,3,4,434,Other
4d7caca576,87,26,99.17999839782712,1,1,1,111,Best Passenger
4d898cd1c5,116,1,4.61999988555908,4,4,4,444,Lost Cheap Passenger
4d8af61ce2,87,1,1.75,1,4,4,144,Recent Passenger
4d9b95ae9d,106,7,26.85999965667724,4,2,2,422,Other
4d9e642d6f,91,2,4.0,3,4,4,344,Other
4da5b5d92f,88,10,28.469999313354478,2,2,2,222,Other
4da8de3947,91,12,44.219999313354485,3,2,1,321,Big Spenders
4dabc2a758,88,1,3.1199998855590803,2,4,4,244,Other
4dadbf8b6b,112,2,3.5,4,4,4,444,Lost Cheap Passenger
4db855fa1c,90,35,107.53999805450437,2,1,1,211,Loyal Passenger
4dbb6dd732,88,2,4.37000000476837,2,4,4,244,Other
4dd3960829,104,5,12.72999966144561,4,3,3,433,Other
4ddaccb837,101,9,26.96999931335448,4,2,2,422,Other
4de6a53c88,113,3,9.36999988555908,4,3,3,433,Other
4dfbe0e7b6,94,2,8.119999885559078,3,4,4,344,Other
4e0aaf2da4,91,11,33.58999919891356,3,2,2,322,Other
4e0f3836ea,87,2,3.62000000476837,1,4,4,144,Recent Passenger
4e21b189c6,86,16,78.08999919891356,1,1,1,111,Best Passenger
4e29a05e5f,88,12,60.599999427795396,2,2,1,221,Big Spenders
4e2c2180f6,99,1,13.619999885559098,4,4,3,443,Other
4e31deabb6,90,6,15.62000000476837,2,3,3,233,Other
4e3574360f,89,5,14.85999965667724,2,3,3,233,Other
4e3b266c74,96,7,14.60999977588653,3,2,3,323,Other
4e438bb3f1,88,25,116.69999885559082,2,1,1,211,Loyal Passenger
4e7d41c077,96,4,14.23999977111816,3,3,3,333,Other
4e882afe09,86,6,19.48999977111816,1,3,3,133,Recent Passenger
4e8a7c91e4,86,16,46.95999944210051,1,1,1,111,Best Passenger
4e9b507cae,88,13,44.33999931812286,2,2,1,221,Big Spenders
4eaa0c6b02,86,27,91.45999920368193,1,1,1,111,Best Passenger
4eb04f213a,88,17,70.56999874114987,2,1,1,211,Loyal Passenger
4eb9bf4af0,92,5,16.73999977111816,3,3,3,333,Other
4ec0622bd9,88,15,93.82999897003172,2,1,1,211,Loyal Passenger
4ecf290e39,87,2,8.61999988555908,1,4,3,143,Recent Passenger
4ed2e3624d,86,47,112.32999897003172,1,1,1,111,Best Passenger
4ee329ea76,112,2,8.36999988555908,4,4,3,443,Other
4ee5b034b9,88,28,82.05999875068662,2,1,1,211,Loyal Passenger
4ef0bb7312,86,15,41.07999920845031,1,1,2,112,Recent Passenger
4efb16b605,86,13,34.58999979496001,1,2,2,122,Recent Passenger
4efcee9e9d,90,15,46.97999954223632,2,1,1,211,Loyal Passenger
4efd1448e7,88,18,66.20999920368193,2,1,1,211,Loyal Passenger
4efe78bc48,100,3,6.75,4,3,4,434,Other
4f015edcfd,87,9,28.989999771118164,1,2,2,122,Recent Passenger
4f0191827e,94,6,12.23999977111816,3,3,3,333,Other
4f0257aaf9,86,36,104.16999816894528,1,1,1,111,Best Passenger
4f097f57f8,97,4,12.75,4,3,3,433,Other
4f0f0a534b,86,9,37.489999771118164,1,2,2,122,Recent Passenger
4f148cee15,99,1,2.5,4,4,4,444,Lost Cheap Passenger
4f2470cd2d,88,35,138.5299979448318,2,1,1,211,Loyal Passenger
4f2ad69975,86,6,20.22999966144561,1,3,2,132,Recent Passenger
4f3fc3d131,100,3,5.5,4,3,4,434,Other
4f6bdab6e5,90,43,138.27999794483182,2,1,1,211,Loyal Passenger
4f6caa834d,86,53,119.13999772071834,1,1,1,111,Best Passenger
4f7041cf94,110,3,10.86999988555908,4,3,3,433,Other
4f7108b1f3,102,2,6.86999988555908,4,4,4,444,Lost Cheap Passenger
4f7496d1d1,89,5,15.23999977111816,2,3,3,233,Other
4f841ff75a,92,5,10.75,3,3,3,333,Other
4f94457f2f,89,1,6.119999885559079,2,4,4,244,Other
4fa910eabe,89,7,17.73999977111816,2,2,3,223,Other
4faf91064e,90,7,16.7299997806549,2,2,3,223,Other
4fb25c08ff,89,43,164.15999794006342,2,1,1,211,Loyal Passenger
4fbbaf6165,88,4,13.61999988555908,2,3,3,233,Other
4fbc09e4cd,106,5,15.98999977111816,4,3,3,433,Other
4fbee6911f,100,6,18.25,4,3,3,433,Other
4fdac63838,94,7,25.85999977588653,3,2,2,322,Other
4fdbeb3514,93,1,5.0,3,4,4,344,Other
4fdd3f5f4b,86,18,55.58999979496001,1,1,1,111,Best Passenger
4fe790033a,94,1,1.87000000476837,3,4,4,344,Other
4ff9e921ac,88,4,12.73999977111816,2,3,3,233,Other
4ffac01d91,97,6,14.61999988555908,4,3,3,433,Other
50017b0125,44,7,36.35999965667724,1,2,2,122,Recent Passenger
500f1425c6,94,9,53.609999656677246,3,2,1,321,Big Spenders
501ffe603b,101,8,26.22999954223632,4,2,2,422,Other
5025f30c24,98,5,20.369999885559082,4,3,2,432,Other
50280911f8,87,2,20.75,1,4,2,142,Recent Passenger
